regular_price_sar,warranty_code,url_path,product_type,color,width_cm,height_cm,depth_cm,weight_kg,product_url,sale_price_sar,discount_percent
199,JB-REPY1,artmate-easels-388552.html,Tripod Easel,Brown,52.00 cm ( 1.71 ft ),146.00 cm ( 4.79 ft ),67.00 cm ( 2.20 ft ),3.81,https://www.jarir.com/sa-en/artmate-easels-388552.html,,
229,,environmental-technology-promise-other-general-crafts-620983.html,Molding and Casting Art,Clear Gloss,,,,1.15,https://www.jarir.com/sa-en/environmental-technology-promise-other-general-crafts-620983.html,179.0,21%
55,,mbgi-wap-colors-and-coloring-set-523489.html,Acrylic Color,Flourescent,,,,0.77,https://www.jarir.com/sa-en/mbgi-wap-colors-and-coloring-set-523489.html,29.0,47%
29,,non-branded-artist-brushes-259148.html,Short Handle Artist Brush,,,,,0.05,https://www.jarir.com/sa-en/non-branded-artist-brushes-259148.html,,
2299,JB-REPY2,cricut-other-general-crafts-592418.html,Decorative Tools,White,56.00 cm ( 1.84 ft ),15.70 cm ( 6.18 in ),,10.98,https://www.jarir.com/sa-en/cricut-other-general-crafts-592418.html,1999.0,13%
139,,environmental-technology-epoxy-coating-other-general-crafts-477999.html,Molding and Casting Art,Clear,,,,0.61,https://www.jarir.com/sa-en/environmental-technology-epoxy-coating-other-general-crafts-477999.html,99.0,28%
65,,vinciana-artist-books-567737.html,Artist Book,,,,,0.39,https://www.jarir.com/sa-en/vinciana-artist-books-567737.html,25.0,61%
1539,,faber-castell-polychromos-color-pencil-503891.html,Color Pencil,Assorted Color,,,,3.0,https://www.jarir.com/sa-en/faber-castell-polychromos-color-pencil-503891.html,,
155,,alumilite-amazing-other-general-crafts-620984.html,Molding and Casting Art,Clear Gloss,,,,0.61,https://www.jarir.com/sa-en/alumilite-amazing-other-general-crafts-620984.html,119.0,23%
82,,speedball-artist-books-475360.html,Artist Book,,,,,0.25,https://www.jarir.com/sa-en/speedball-artist-books-475360.html,39.0,52%
45,,vinciana-artist-books-469203.html,Artist Book,,,,,0.22,https://www.jarir.com/sa-en/vinciana-artist-books-469203.html,19.0,57%
109,JB-REPY1,phoenix-easels-258523.html,Tripod Easel,,28.50 cm ( 11.22 in ),89.00 cm ( 2.92 ft ),,4.35,https://www.jarir.com/sa-en/phoenix-easels-258523.html,,
