regular_price_sar,sale_price_sar,discount_percent,warranty_code,url_path,connectivity,product_type,color,width_cm,height_cm,depth_cm,weight_kg,special_features,product_url,series,ports,screen_size_inch,screen_refresh_rate_hz,screen_resolution,touchscreen,webcam
4399,2499.0,43%,JB-REPY1,lg-speaker-658853.html,Bluetooth,Music System,Black,404.00 mm ( 15.91 in ),916.00 mm ( 36.06 in ),428.00 mm ( 16.85 in ),60.56,"Pixel Art Display, Multi Color Ring Lighting",https://www.jarir.com/sa-en/lg-speaker-658853.html,,,,,,,
1909,1299.0,31%,BZ-COLY2,bose-triple-speakers-541094.html,Bluetooth,Smart Speaker/Voice Assistant,Black,11.90 cm ( 4.69 in ),19.20 cm ( 7.56 in ),10.30 cm ( 4.06 in ),1.4,"Built-in Voice Control, up to 12 Hr Battery Life, Protects Against Bumps, Drops",https://www.jarir.com/sa-en/bose-triple-speakers-541094.html,Bose Home,,,,,,
369,,,HQ-ASPY2,huawei-freebuds-6i-headsets-638068.html,Bluetooth,Earbuds,White,,,,0.14,"up to 35 Hours Battery Life, Dust and Water Resistant (IP54)",https://www.jarir.com/sa-en/huawei-freebuds-6i-headsets-638068.html,,,,,,,
1699,1099.0,35%,JB-REPY1,lg-speaker-658861.html,Bluetooth,Portable Speaker,Black,312.00 mm ( 12.28 in ),311.00 mm ( 12.24 in ),282.00 mm ( 11.10 in ),13.61,,https://www.jarir.com/sa-en/lg-speaker-658861.html,,,,,,,
6199,5199.0,16%,33-3P06Y2,canon-eos-rp-dslr-camera-589158.html,Wi-Fi,Mirrorless Camera,Black,132.00 mm ( 5.20 in ),85.00 mm ( 3.35 in ),70.00 mm ( 2.76 in ),2.91,"Dual Pixel, 4K Movie",https://www.jarir.com/sa-en/canon-eos-rp-dslr-camera-589158.html,,Mini HDMI,"3""",ClearView LCD II,1040k Dots,Yes,26.2 MP
2299,1599.0,30%,9Y-3P06Y2,fuji-instax-mini-wide-evo-film-camera-656939.html,,Instant Film Camera,Black,12.50 cm ( 4.92 in ),13.90 cm ( 5.47 in ),6.30 cm ( 2.48 in ),0.01,"10 Lens Effects, 10 Film Effects, Wide-Angle Mode",https://www.jarir.com/sa-en/fuji-instax-mini-wide-evo-film-camera-656939.html,,,,Fix LCD Display,,,16 MP
11499,9899.0,13%,33-3P06Y1,canon-camera-lens-654565.html,,Zoom Lens,,,,,0.01,,https://www.jarir.com/sa-en/canon-camera-lens-654565.html,,,,,,,
8399,5399.0,35%,33-3P06Y2,canon-eos-r8-dslr-camera-635889.html,Wi-Fi/Bluetooth,Mirrorless Camera,Black,132.50 mm ( 5.22 in ),86.10 mm ( 3.39 in ),70.00 mm ( 2.76 in ),0.01,,https://www.jarir.com/sa-en/canon-eos-r8-dslr-camera-635889.html,,HDMI micro out,"3""",LCD II,1.62M Dots,Yes,24.2 MP
15539,11999.0,22%,33-3P06Y2,canon-eos-r6-dslr-camera-635892.html,Wi-Fi/Bluetooth,Mirrorless Camera,Black,138.40 mm ( 5.45 in ),98.40 mm ( 3.87 in ),88.40 mm ( 3.48 in ),0.01,,https://www.jarir.com/sa-en/canon-eos-r6-dslr-camera-635892.html,,HDMI micro out,"3""",LCD II,1.62M Dots,Yes,24.2 MP
1599,799.0,50%,L4-TV3RDY2,lg-speaker-655460.html,Bluetooth,Soundbar with Subwoofer,Black,,,,38.72,"Dolby Audio, DTS Virtual: X, AI Sound Pro",https://www.jarir.com/sa-en/lg-speaker-655460.html,,,,,,,
3599,2499.0,30%,JB-REPYB1,sennheiser-speaker-653969.html,Bluetooth/Wi-Fi,Soundbar,Black,700.00 mm ( 27.56 in ),100.00 mm ( 3.94 in ),65.00 mm ( 2.56 in ),7.61,"Ultimate Immersive Sound, Powerful Adaptive Audio",https://www.jarir.com/sa-en/sennheiser-speaker-653969.html,Sennheiser AMBEO,,,,,,
3829,3299.0,13%,33-3P06Y2,canon-eos-r50-dslr-camera-617835.html,Wi-Fi/Bluetooth,Mirrorless Camera,Black,116.30 mm ( 4.58 in ),85.50 mm ( 3.37 in ),68.80 mm ( 2.71 in ),3.19,,https://www.jarir.com/sa-en/canon-eos-r50-dslr-camera-617835.html,,HDMI micro out,"2.95""",TFT-LCD Capacitive Display,1.62M Dots,Yes,24.2 MP
