regular_price_sar,warranty_code,url_path,product_type,weight_kg,product_url,color,sale_price_sar,discount_percent,connectivity,width_cm,height_cm,depth_cm,special_features,series
89,JB-REPY1,samsung-anti-reflecting-film-screen-protectors-662298.html,Smartphone Screen Protector,0.01,https://www.jarir.com/sa-en/samsung-anti-reflecting-film-screen-protectors-662298.html,,,,,,,,,
89,JB-REPY1,samsung-anti-reflecting-film-screen-protectors-662337.html,Smartphone Screen Protector,0.01,https://www.jarir.com/sa-en/samsung-anti-reflecting-film-screen-protectors-662337.html,,,,,,,,,
259,JB-REPY1,samsung-silicone-case-electronic-gadgets-cases-662324.html,Flip Cover Mobile Case,0.01,https://www.jarir.com/sa-en/samsung-silicone-case-electronic-gadgets-cases-662324.html,Black,,,,,,,,
179,JB-REPY1,samsung-clear-grip-case-electronic-gadgets-cases-662294.html,Flip Cover Mobile Case,0.01,https://www.jarir.com/sa-en/samsung-clear-grip-case-electronic-gadgets-cases-662294.html,Clear,,,,,,,,
1699,JB-REPY1,lg-speaker-658861.html,Portable Speaker,13.61,https://www.jarir.com/sa-en/lg-speaker-658861.html,Black,1099.0,35%,Bluetooth,312.00 mm ( 12.28 in ),311.00 mm ( 12.24 in ),282.00 mm ( 11.10 in ),,
799,16-ASP06Y2,samsung-headsets-593198.html,Earbuds,0.15,https://www.jarir.com/sa-en/samsung-headsets-593198.html,White,399.0,50%,Bluetooth,,,,"Enhanced 360 Audio, 24-bit Hi-Fi Sound Quality, Water Resistant (IPX7)",
4399,JB-REPY1,lg-speaker-658853.html,Music System,60.56,https://www.jarir.com/sa-en/lg-speaker-658853.html,Black,2499.0,43%,Bluetooth,404.00 mm ( 15.91 in ),916.00 mm ( 36.06 in ),428.00 mm ( 16.85 in ),"Pixel Art Display, Multi Color Ring Lighting",
849,JB-REPY1,anker-speaker-600751.html,Portable Speaker,6.63,https://www.jarir.com/sa-en/anker-speaker-600751.html,Black,499.0,41%,Bluetooth,,,,up to 16 Hours Playtime,
199,JB-REPY1,samsung-clear-magnet-case-electronic-gadgets-cases-662287.html,Flip Cover Mobile Case with MagSafe,0.01,https://www.jarir.com/sa-en/samsung-clear-magnet-case-electronic-gadgets-cases-662287.html,Clear,,,,,,,,
899,JB-REPY1,anker-speaker-636180.html,Portable Speaker,6.55,https://www.jarir.com/sa-en/anker-speaker-636180.html,Black,469.0,47%,Bluetooth,,,,"Soundcore Pro EQ, Floatable, Built-in Powerbank",Anker SoundCore
369,HQ-ASPY2,huawei-freebuds-6i-headsets-638068.html,Earbuds,0.14,https://www.jarir.com/sa-en/huawei-freebuds-6i-headsets-638068.html,White,,,Bluetooth,,,,"up to 35 Hours Battery Life, Dust and Water Resistant (IP54)",
179,JB-REPY1,samsung-ring-case-electronic-gadgets-cases-662334.html,Flip Cover Mobile Case with Ring,0.01,https://www.jarir.com/sa-en/samsung-ring-case-electronic-gadgets-cases-662334.html,Clear,,,,,,,"Protect from Scratches, with Easy-carry Ring",
