cpu_model,storage,regular_price_sar,warranty_code,url_path,os,series,product_type,color,weight_kg,screen_size_inch,screen_refresh_rate_hz,screen_resolution,special_features,product_url
Penta-Core,64 GB,1949,16-ASP12Y2,samsung-galaxy-watch8-classic-46-smartwatch-662010.html,Wear OS,Samsung Galaxy Watch,Smartwatch,Black,0.01,"1.3""",Super AMOLED Touchscreen,438 X 438 Pixels,"Camera Remote View, Quick Camera Access, Find My Phone",https://www.jarir.com/sa-en/samsung-galaxy-watch8-classic-46-smartwatch-662010.html
3nm Processor 5Core,2 GB (RAM) + 64 GB (ROM),2499,16-ASP12Y2,samsung-galaxy-watch-ultra-2025-smartwatch-662013.html,Wear OS,Samsung Galaxy Ultra,Smartwatch,White,0.01,"1.47""",Super AMOLED Sapphire Glass,480 X 480 Pixels,"Activity Tracker, Intelligent Coaching",https://www.jarir.com/sa-en/samsung-galaxy-watch-ultra-2025-smartwatch-662013.html
Penta-Core,32 GB,1349,16-ASP12Y2,samsung-galaxy-watch-8-40-smartwatch-662000.html,Wear OS,Samsung Galaxy Watch,Smartwatch,Grey,0.01,"1.3""",Super AMOLED Touchscreen,438 X 438 Pixels,"Camera Remote View, Quick Camera Access, Find my Phone",https://www.jarir.com/sa-en/samsung-galaxy-watch-8-40-smartwatch-662000.html
,,1149,HQ-ASPY2,huawei-watch-gt-5-46-smartwatch-642267.html,HarmonyOS,Huawei Watch GT 5,Smartwatch,Silver,0.23,"1.43""",AMOLED Color Screen,"466 x 466 Pixels, PPI 326","Heart Rate Monitoring, Automatic SpO2 Measurements, Stress Monitoring",https://www.jarir.com/sa-en/huawei-watch-gt-5-46-smartwatch-642267.html
3nm Processor 5Core,2 GB (RAM) + 64 GB (ROM),2499,16-ASP12Y2,samsung-galaxy-watch-ultra-2025-smartwatch-662018.html,Wear OS,Samsung Galaxy Ultra,Smartwatch,Grey,0.01,"1.47""",Super AMOLED Sapphire Glass,480 X 480 Pixels,"Activity Tracker, Intelligent Coaching",https://www.jarir.com/sa-en/samsung-galaxy-watch-ultra-2025-smartwatch-662018.html
Penta-Core,32 GB,1349,16-ASP12Y2,samsung-galaxy-watch-8-40-smartwatch-662002.html,Wear OS,Samsung Galaxy Watch,Smartwatch,Silver,0.01,"1.3""",Super AMOLED Touchscreen,438 X 438 Pixels,"Camera Remote View, Quick Camera Access, Find My Phone",https://www.jarir.com/sa-en/samsung-galaxy-watch-8-40-smartwatch-662002.html
,,89,JB-REPY1,samsung-anti-reflecting-film-screen-protectors-662298.html,,,Smartphone Screen Protector,,0.01,,,,,https://www.jarir.com/sa-en/samsung-anti-reflecting-film-screen-protectors-662298.html
Penta-Core,32 GB,1449,16-ASP12Y2,samsung-galaxy-watch-8-44-smartwatch-662006.html,Wear OS,Samsung Galaxy Watch,Smartwatch,Grey,0.01,"1.5""",Super AMOLED Touchscreen,480 X 480 Pixels,"Camera Remote View, Quick Camera Access, Find My Phone",https://www.jarir.com/sa-en/samsung-galaxy-watch-8-44-smartwatch-662006.html
Penta-Core,64 GB,1949,16-ASP12Y2,samsung-galaxy-watch8-classic-46-smartwatch-662012.html,Wear OS,Samsung Galaxy Watch,Smartwatch,White,0.01,"1.3""",Super AMOLED Touchscreen,438 X 438 Pixels,"Camera Remote View, Quick Camera Access, Find My Phone",https://www.jarir.com/sa-en/samsung-galaxy-watch8-classic-46-smartwatch-662012.html
3nm Processor 5Core,2 GB (RAM) + 64 GB (ROM),2499,16-ASP12Y2,samsung-galaxy-watch-ultra-2025-smartwatch-662020.html,Wear OS,Samsung Galaxy Ultra,Smartwatch,Blue,0.01,"1.47""",Super AMOLED Sapphire Glass,480 X 480 Pixels,"Activity Tracker, Intelligent Coaching",https://www.jarir.com/sa-en/samsung-galaxy-watch-ultra-2025-smartwatch-662020.html
,,89,JB-REPY1,samsung-anti-reflecting-film-screen-protectors-662337.html,,,Smartphone Screen Protector,,0.01,,,,,https://www.jarir.com/sa-en/samsung-anti-reflecting-film-screen-protectors-662337.html
Penta-Core,32 GB,1449,16-ASP12Y2,samsung-galaxy-watch-8-44-smartwatch-662008.html,Wear OS,Samsung Galaxy Watch,Smartwatch,Silver,0.01,"1.5""",Super AMOLED Touchscreen,480 X 480 Pixels,"Camera Remote View, Quick Camera Access, Find My Phone",https://www.jarir.com/sa-en/samsung-galaxy-watch-8-44-smartwatch-662008.html
